station,city,state,country,data_source,longitude,latitude,data_type,ts,aqius,aqicn,pm25,pm10,tp,tp_min,hu,pr,ws,wd,pop,ic,hour,date,weekday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-29 03:00:00+00:00,158.0,89.0,66.0,,12,,35,1020,0.5,70,0,01d,3,2024-10-29,Tuesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-29 04:00:00+00:00,134.0,68.0,49.0,,12,,35,1019,0.69,30,0,01n,4,2024-10-29,Tuesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-29 05:00:00+00:00,102.0,51.0,36.0,,13,,35,1019,0.78,29,0,02n,5,2024-10-29,Tuesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-29 06:00:00+00:00,77.0,33.0,23.0,,13,,34,1018,0.95,11,0,01n,6,2024-10-29,Tuesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-29 07:00:00+00:00,86.0,40.0,28.0,,13,,34,1019,1.15,15,0,01n,7,2024-10-29,Tuesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-29 08:00:00+00:00,81.0,36.0,25.0,,14,,33,1019,1.16,23,0,01n,8,2024-10-29,Tuesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-29 09:00:00+00:00,81.0,36.0,25.0,,14,,32,1019,1.05,24,0,01n,9,2024-10-29,Tuesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-29 10:00:00+00:00,82.0,37.0,26.0,,14,,32,1019,1.03,14,0,01n,10,2024-10-29,Tuesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-29 11:00:00+00:00,81.0,36.0,25.0,,15,,31,1019,1.04,0,0,01n,11,2024-10-29,Tuesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-29 12:00:00+00:00,97.0,49.0,34.0,,16,,31,1019,1.06,344,0,01n,12,2024-10-29,Tuesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-29 13:00:00+00:00,77.0,33.0,23.0,,16,,30,1019,1.41,329,0,01n,13,2024-10-29,Tuesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-29 14:00:00+00:00,107.0,54.0,38.0,,17,,28,1018,1.83,322,0,01n,14,2024-10-29,Tuesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-29 15:00:00+00:00,90.0,43.0,30.0,,18,,26,1017,2.1,320,0,01n,15,2024-10-29,Tuesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-29 16:00:00+00:00,102.0,51.0,36.0,,19,,25,1016,2.0,322,0,01n,16,2024-10-29,Tuesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-29 17:00:00+00:00,153.0,79.0,58.0,,20,,21,1016,2.39,321,0,02d,17,2024-10-29,Tuesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-29 19:00:00+00:00,163.0,98.0,73.0,,21,,21,1015,2.58,313,0,01d,19,2024-10-29,Tuesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-29 20:00:00+00:00,107.0,54.0,38.0,,21,,22,1015,2.61,310,0,02d,20,2024-10-29,Tuesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-29 21:00:00+00:00,117.0,59.0,42.0,,21,,22,1015,2.5,307,0,02d,21,2024-10-29,Tuesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-29 22:00:00+00:00,124.0,63.0,45.0,,21,,24,1016,2.32,305,0,02d,22,2024-10-29,Tuesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-29 23:00:00+00:00,115.0,58.0,41.0,,20,,25,1017,2.02,302,0,01d,23,2024-10-29,Tuesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-30 03:00:00+00:00,173.0,115.0,87.0,,19,,26,1018,1.76,304,0,03d,3,2024-10-30,Wednesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-30 04:00:00+00:00,71.0,29.0,20.0,,18,,28,1018,1.38,315,0,03d,4,2024-10-30,Wednesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-30 05:00:00+00:00,79.0,34.0,24.0,,17,,29,1019,1.04,332,0,03d,5,2024-10-30,Wednesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-30 06:00:00+00:00,62.0,21.0,15.0,,15,,34,1019,0.7,1,0,03d,6,2024-10-30,Wednesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-30 07:00:00+00:00,75.0,31.0,22.0,,12,,40,1018,0.73,356,0,03d,7,2024-10-30,Wednesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-30 08:00:00+00:00,68.0,26.0,18.0,,12,,41,1017,0.86,344,0,03n,8,2024-10-30,Wednesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-30 09:00:00+00:00,60.0,20.0,14.0,,13,,41,1016,0.92,336,0,04n,9,2024-10-30,Wednesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-30 10:00:00+00:00,60.0,20.0,14.0,,13,,39,1016,0.94,326,0,04n,10,2024-10-30,Wednesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-30 11:00:00+00:00,64.0,23.0,16.0,,14,,39,1016,0.9,306,0,04n,11,2024-10-30,Wednesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-30 12:00:00+00:00,88.0,41.0,29.0,,14,,39,1016,0.92,293,0,04n,12,2024-10-30,Wednesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-30 13:00:00+00:00,99.0,50.0,35.0,,14,,39,1016,1.01,283,0,04n,13,2024-10-30,Wednesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-30 14:00:00+00:00,73.0,30.0,21.0,,15,,39,1016,1.18,271,0,04n,14,2024-10-30,Wednesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-30 15:00:00+00:00,66.0,24.0,17.0,,15,,37,1016,1.18,278,0,02n,15,2024-10-30,Wednesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-30 16:00:00+00:00,102.0,51.0,36.0,,16,,37,1016,1.3,280,0,01n,16,2024-10-30,Wednesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-30 17:00:00+00:00,124.0,63.0,45.0,,17,,35,1016,1.59,290,0,01n,17,2024-10-30,Wednesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-30 18:00:00+00:00,152.0,78.0,57.0,,17,,34,1016,1.91,288,0,01n,18,2024-10-30,Wednesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-30 19:00:00+00:00,115.0,58.0,41.0,,18,,33,1015,2.27,287,0,01n,19,2024-10-30,Wednesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-30 20:00:00+00:00,160.0,93.0,69.0,,19,,30,1014,2.99,285,0,01n,20,2024-10-30,Wednesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-30 21:00:00+00:00,124.0,63.0,45.0,,21,,28,1013,3.67,293,0,01d,21,2024-10-30,Wednesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-30 22:00:00+00:00,147.0,74.0,54.0,,21,,27,1013,3.34,298,0,01d,22,2024-10-30,Wednesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-30 23:00:00+00:00,119.0,60.0,43.0,,22,,27,1013,3.11,299,0,01d,23,2024-10-30,Wednesday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,history,2024-10-31 00:00:00+00:00,110.0,55.0,39.0,,21,,28,1013,2.76,297,0,01d,0,2024-10-31,Thursday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-10-31 01:00:00+00:00,110.0,55.0,,,12,,35,1020,0.5,70,0,01d,1,2024-10-31,Thursday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-10-31 03:00:00+00:00,109.0,55.0,37.36,30.09,13,13.0,33,1020,0.0,122,0,01d,3,2024-10-31,Thursday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-10-31 04:00:00+00:00,109.0,55.0,37.36,30.09,14,14.0,30,1020,0.0,177,0,01d,4,2024-10-31,Thursday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-10-31 05:00:00+00:00,108.0,54.0,37.36,30.09,16,16.0,26,1020,1.0,243,0,01d,5,2024-10-31,Thursday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-10-31 06:00:00+00:00,108.0,54.0,37.36,30.09,18,18.0,21,1019,1.0,266,0,01d,6,2024-10-31,Thursday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-10-31 07:00:00+00:00,108.0,54.0,37.36,30.09,21,21.0,17,1018,2.0,277,0,01d,7,2024-10-31,Thursday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-10-31 08:00:00+00:00,107.0,54.0,37.36,30.09,22,22.0,16,1018,2.0,284,0,01d,8,2024-10-31,Thursday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-10-31 09:00:00+00:00,107.0,54.0,37.36,30.09,22,22.0,14,1017,2.0,295,0,01d,9,2024-10-31,Thursday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-10-31 10:00:00+00:00,106.0,54.0,37.36,30.09,22,22.0,14,1016,2.0,298,0,01d,10,2024-10-31,Thursday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-10-31 11:00:00+00:00,106.0,53.0,37.36,30.09,22,22.0,14,1016,2.0,299,0,01d,11,2024-10-31,Thursday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-10-31 12:00:00+00:00,105.0,53.0,37.36,30.09,21,21.0,14,1016,2.0,304,0,01d,12,2024-10-31,Thursday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-10-31 13:00:00+00:00,105.0,53.0,37.36,30.09,19,19.0,17,1017,2.0,308,0,01n,13,2024-10-31,Thursday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-10-31 14:00:00+00:00,105.0,53.0,37.36,30.09,18,18.0,19,1018,2.0,306,0,01n,14,2024-10-31,Thursday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-10-31 15:00:00+00:00,105.0,53.0,37.36,30.09,17,17.0,20,1019,1.0,313,0,01n,15,2024-10-31,Thursday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-10-31 16:00:00+00:00,105.0,53.0,37.36,30.09,17,17.0,21,1019,1.0,325,0,01n,16,2024-10-31,Thursday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-10-31 17:00:00+00:00,105.0,53.0,37.36,30.09,16,16.0,22,1019,1.0,344,0,01n,17,2024-10-31,Thursday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-10-31 18:00:00+00:00,105.0,53.0,37.36,30.09,15,15.0,22,1019,0.0,350,0,01n,18,2024-10-31,Thursday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-10-31 19:00:00+00:00,105.0,53.0,37.36,30.09,15,15.0,23,1019,0.0,340,0,01n,19,2024-10-31,Thursday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-10-31 20:00:00+00:00,105.0,53.0,37.36,30.09,14,14.0,23,1019,0.0,337,0,01n,20,2024-10-31,Thursday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-10-31 21:00:00+00:00,105.0,53.0,37.36,30.09,14,14.0,24,1018,0.0,0,0,02n,21,2024-10-31,Thursday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-10-31 22:00:00+00:00,105.0,53.0,37.36,30.09,14,14.0,24,1018,1.0,340,0,03n,22,2024-10-31,Thursday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-10-31 23:00:00+00:00,105.0,53.0,37.36,30.09,14,14.0,25,1018,1.0,342,0,04n,23,2024-10-31,Thursday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-01 00:00:00+00:00,61.0,21.0,14.46,30.0,13,13.0,25,1018,1.0,338,0,04n,0,2024-11-01,Friday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-01 01:00:00+00:00,61.0,21.0,14.46,30.0,13,13.0,26,1019,0.0,336,0,04n,1,2024-11-01,Friday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-01 02:00:00+00:00,61.0,21.0,14.46,30.0,13,13.0,27,1019,0.0,338,0,03d,2,2024-11-01,Friday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-01 03:00:00+00:00,61.0,21.0,14.46,30.0,16,16.0,24,1020,0.0,321,0,04d,3,2024-11-01,Friday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-01 04:00:00+00:00,61.0,21.0,14.46,30.0,18,18.0,20,1020,0.0,301,0,03d,4,2024-11-01,Friday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-01 05:00:00+00:00,61.0,21.0,14.46,30.0,19,19.0,19,1020,1.0,301,0,03d,5,2024-11-01,Friday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-01 06:00:00+00:00,61.0,21.0,14.46,30.0,20,20.0,19,1019,2.0,302,0,03d,6,2024-11-01,Friday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-01 07:00:00+00:00,61.0,21.0,14.46,30.0,21,21.0,19,1018,2.0,303,0,01d,7,2024-11-01,Friday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-01 08:00:00+00:00,61.0,21.0,14.46,30.0,22,22.0,18,1017,3.0,307,0,01d,8,2024-11-01,Friday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-01 09:00:00+00:00,61.0,21.0,14.46,30.0,22,22.0,18,1017,3.0,311,0,01d,9,2024-11-01,Friday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-01 10:00:00+00:00,61.0,21.0,14.46,30.0,22,22.0,18,1016,3.0,310,0,01d,10,2024-11-01,Friday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-01 11:00:00+00:00,61.0,21.0,14.46,30.0,22,22.0,19,1016,3.0,316,0,01d,11,2024-11-01,Friday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-01 12:00:00+00:00,61.0,21.0,14.46,30.0,22,22.0,20,1017,4.0,320,0,01d,12,2024-11-01,Friday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-01 13:00:00+00:00,61.0,21.0,14.46,30.0,20,20.0,24,1018,3.0,319,0,01n,13,2024-11-01,Friday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-01 14:00:00+00:00,61.0,21.0,14.46,30.0,19,19.0,26,1019,2.0,323,0,01n,14,2024-11-01,Friday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-01 15:00:00+00:00,61.0,21.0,14.46,30.0,18,18.0,27,1020,2.0,329,0,01n,15,2024-11-01,Friday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-01 16:00:00+00:00,61.0,21.0,14.46,30.0,17,17.0,29,1020,2.0,336,0,01n,16,2024-11-01,Friday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-01 17:00:00+00:00,61.0,21.0,14.46,30.0,17,17.0,30,1020,1.0,345,0,01n,17,2024-11-01,Friday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-01 18:00:00+00:00,61.0,21.0,14.46,30.0,16,16.0,31,1020,1.0,342,0,01n,18,2024-11-01,Friday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-01 19:00:00+00:00,61.0,21.0,14.46,30.0,16,16.0,32,1019,1.0,332,0,01n,19,2024-11-01,Friday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-01 20:00:00+00:00,61.0,21.0,14.46,30.0,15,15.0,33,1019,1.0,325,0,01n,20,2024-11-01,Friday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-01 21:00:00+00:00,61.0,21.0,14.46,30.0,15,15.0,33,1019,1.0,325,0,01n,21,2024-11-01,Friday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-01 22:00:00+00:00,61.0,21.0,14.46,30.0,15,15.0,34,1018,1.0,323,0,01n,22,2024-11-01,Friday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-01 23:00:00+00:00,61.0,21.0,14.46,30.0,14,14.0,35,1018,1.0,328,0,01n,23,2024-11-01,Friday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-02 00:00:00+00:00,104.0,52.0,36.91,123.17,14,14.0,36,1018,1.0,328,0,01n,0,2024-11-02,Saturday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-02 01:00:00+00:00,104.0,52.0,36.91,123.17,14,14.0,37,1019,1.0,322,0,01n,1,2024-11-02,Saturday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-02 02:00:00+00:00,104.0,52.0,36.91,123.17,13,13.0,38,1020,1.0,320,0,01d,2,2024-11-02,Saturday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-02 03:00:00+00:00,104.0,52.0,36.91,123.17,16,16.0,32,1020,0.0,295,0,01d,3,2024-11-02,Saturday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-02 04:00:00+00:00,104.0,52.0,36.91,123.17,18,18.0,28,1020,1.0,286,0,01d,4,2024-11-02,Saturday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-02 05:00:00+00:00,104.0,52.0,36.91,123.17,20,20.0,25,1020,1.0,291,0,01d,5,2024-11-02,Saturday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-02 06:00:00+00:00,104.0,52.0,36.91,123.17,21,21.0,23,1019,2.0,297,0,01d,6,2024-11-02,Saturday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-02 07:00:00+00:00,104.0,52.0,36.91,123.17,22,22.0,22,1018,2.0,302,0,01d,7,2024-11-02,Saturday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-02 08:00:00+00:00,104.0,52.0,36.91,123.17,22,22.0,21,1017,3.0,304,0,01d,8,2024-11-02,Saturday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-02 09:00:00+00:00,104.0,52.0,36.91,123.17,23,23.0,21,1016,3.0,303,0,01d,9,2024-11-02,Saturday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-02 10:00:00+00:00,104.0,52.0,36.91,123.17,23,23.0,20,1016,3.0,300,0,01d,10,2024-11-02,Saturday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-02 11:00:00+00:00,104.0,52.0,36.91,123.17,23,23.0,20,1016,3.0,299,0,01d,11,2024-11-02,Saturday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-02 12:00:00+00:00,104.0,52.0,36.91,123.17,22,22.0,21,1016,3.0,297,0,01d,12,2024-11-02,Saturday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-02 13:00:00+00:00,104.0,52.0,36.91,123.17,20,20.0,25,1017,2.0,291,0,01n,13,2024-11-02,Saturday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-02 14:00:00+00:00,104.0,52.0,36.91,123.17,19,19.0,27,1018,1.0,289,0,01n,14,2024-11-02,Saturday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-02 15:00:00+00:00,104.0,52.0,36.91,123.17,18,18.0,28,1019,1.0,283,0,01n,15,2024-11-02,Saturday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-02 16:00:00+00:00,104.0,52.0,36.91,123.17,18,18.0,29,1019,0.0,256,0,01n,16,2024-11-02,Saturday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-02 17:00:00+00:00,104.0,52.0,36.91,123.17,17,17.0,29,1019,1.0,252,0,01n,17,2024-11-02,Saturday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-02 18:00:00+00:00,104.0,52.0,36.91,123.17,17,17.0,30,1019,1.0,246,0,01n,18,2024-11-02,Saturday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-02 19:00:00+00:00,104.0,52.0,36.91,123.17,16,16.0,31,1019,1.0,253,0,01n,19,2024-11-02,Saturday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-02 20:00:00+00:00,104.0,52.0,36.91,123.17,15,15.0,32,1019,1.0,252,0,01n,20,2024-11-02,Saturday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-02 21:00:00+00:00,104.0,52.0,36.91,123.17,15,15.0,33,1018,1.0,260,0,01n,21,2024-11-02,Saturday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-02 22:00:00+00:00,104.0,52.0,36.91,123.17,14,14.0,34,1018,1.0,266,0,01n,22,2024-11-02,Saturday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-02 23:00:00+00:00,104.0,52.0,36.91,123.17,14,14.0,35,1018,0.0,263,0,01n,23,2024-11-02,Saturday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-03 00:00:00+00:00,55.0,16.0,11.24,20.2,13,13.0,36,1018,0.0,251,0,01n,0,2024-11-03,Sunday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-03 01:00:00+00:00,55.0,16.0,11.24,20.2,13,13.0,36,1019,0.0,263,0,01n,1,2024-11-03,Sunday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-03 02:00:00+00:00,55.0,16.0,11.24,20.2,13,13.0,37,1020,0.0,218,0,01d,2,2024-11-03,Sunday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-03 03:00:00+00:00,55.0,16.0,11.24,20.2,15,15.0,32,1020,0.0,214,0,02d,3,2024-11-03,Sunday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-03 04:00:00+00:00,55.0,16.0,11.24,20.2,18,18.0,27,1020,0.0,265,0,02d,4,2024-11-03,Sunday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-03 05:00:00+00:00,55.0,16.0,11.24,20.2,19,19.0,24,1020,1.0,291,0,02d,5,2024-11-03,Sunday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-03 06:00:00+00:00,55.0,16.0,11.24,20.2,20,20.0,21,1019,1.0,288,0,02d,6,2024-11-03,Sunday
WWF-Pakistan Quetta Office,Quetta,Balochistan,Pakistan,station,66.9842,30.1709,forecast,2024-11-03 07:00:00+00:00,55.0,16.0,11.24,20.2,21,21.0,17,1018,1.0,286,0,01d,7,2024-11-03,Sunday
